experiment_id	number_of_data	type_of_plain_text	prompt_type	setting	shot	model	temperature	max_tokens
20241230_142050	100	natural	base	decrypt	0	gpt-4o	0	64
20241230_142136	100	natural	base	encrypt	0	gpt-4o	0	64
20241230_142222	100	natural	default	decrypt	0	gpt-4o	0	2048
20241230_142918	100	natural	default	encrypt	0	gpt-4o	0	2048
20241230_143257	100	natural	code	decrypt	0	gpt-4o	0	512
20241230_143809	100	natural	code	encrypt	0	gpt-4o	0	512
20241230_144045	100	random	base	decrypt	0	gpt-4o	0	64
20241230_144131	100	random	base	encrypt	0	gpt-4o	0	64
20241230_144214	100	random	default	decrypt	0	gpt-4o	0	2048
20241230_145333	100	random	default	encrypt	0	gpt-4o	0	2048
20241230_145650	100	random	code	decrypt	0	gpt-4o	0	512
20241230_150228	100	random	code	encrypt	0	gpt-4o	0	512
20241230_150644	100	natural	cot-like	decrypt	0	gpt-4o	0	256
20241230_151022	100	natural	cot-like	encrypt	0	gpt-4o	0	256
20241230_151431	100	random	cot-like	decrypt	0	gpt-4o	0	256
20241230_151832	100	random	cot-like	encrypt	0	gpt-4o	0	256
20241231_215517	100	natural	base	decrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_215558	100	natural	cot-like	decrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_220222	100	natural	default	decrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_221129	100	random	base	decrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_221305	100	natural	base	decrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20241231_221204	100	random	cot-like	decrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_221816	100	random	default	decrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_222752	100	natural	base	encrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_221449	100	natural	cot-like	decrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20241231_222940	100	natural	cot-like	encrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_223657	100	natural	default	encrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_223819	100	random	base	encrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_223901	100	random	cot-like	encrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_224531	100	random	default	encrypt	0	models--Qwen2.5-7B-Instruct	0.01	1024
20241231_223451	100	natural	default	decrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20241231_231114	100	random	base	decrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20241231_231307	100	random	cot-like	decrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20241231_234059	100	natural	base	decrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20241231_234339	100	natural	cot-like	decrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_000013	100	natural	default	decrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_000736	100	random	base	decrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20241231_233302	100	random	default	decrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_001447	100	natural	base	encrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_001112	100	random	cot-like	decrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_002745	100	random	default	decrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_003319	100	natural	base	encrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_001649	100	natural	cot-like	encrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_003659	100	natural	default	encrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_003919	100	random	base	encrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_004101	100	random	cot-like	encrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_010033	100	random	default	encrypt	0	models--Qwen2.5-32B-Instruct	0.01	1024
20250101_003414	100	natural	cot-like	encrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_011253	100	natural	default	encrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_012050	100	random	base	encrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_012143	100	random	cot-like	encrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_014116	100	random	default	encrypt	0	models--llama-3.1/hf/8B-Instruct/	0.01	1024
20250101_015211	100	natural	base	decrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_015407	100	natural	cot-like	decrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_021426	100	natural	default	decrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_023437	100	random	base	decrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_023616	100	random	cot-like	decrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_025616	100	random	default	decrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_032400	100	natural	base	encrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_032645	100	natural	cot-like	encrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_035105	100	natural	default	encrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_041833	100	random	base	encrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_042141	100	random	cot-like	encrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_044532	100	random	default	encrypt	0	models--llama-3.1/hf/70B-Instruct/	0.01	1024
20250101_130617	100	natural	cot-like	decrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250101_161137	100	natural	base	decrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250101_155041	100	random	cot-like	decrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250101_183844	100	natural	cot-like	encrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250101_183332	100	natural	default	decrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250101_201834	100	random	cot-like	encrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250101_203901	100	random	base	decrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250102_002601	100	random	default	decrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250102_035212	100	natural	base	encrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250102_045402	100	natural	default	encrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250102_060822	100	random	base	encrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250102_071605	100	random	default	encrypt	0	Qwen/QwQ-32B-Preview	0.01	2048
20250117_230528	75	natural	base	decrypt	50	gpt-4o	0	64
20250117_230647	75	natural	base	encrypt	50	gpt-4o	0	64
