experiment_id,number_of_data,type_of_plain_text,prompt_type,setting,shot,model,temperature,max_tokens,accuracy,accuracy_1,accuracy_2,accuracy_3,token_error_rate,accuracy_shift_3,accuracy_shift_6,accuracy_shift_9,accuracy_shift_12,ter_shift_3,ter_shift_6,ter_shift_9,ter_shift_12
20241230_142050,100,natural,base,decrypt,0,gpt-4o,0.0,64,0.17,0.73,0.53,0.48,0.5521190258991906,0.64,0.04,0.0,0.0,0.1578898862436126,0.580033483584335,0.6915963249654729,0.7789564088033418
20241230_142136,100,natural,base,encrypt,0,gpt-4o,0.0,64,0.17,0.95,0.86,0.74,0.2960970063687125,0.64,0.04,0.0,0.0,0.08890697769327534,0.31956339084891455,0.43866408216253416,0.33725357477012624
20241230_142222,100,natural,default,decrypt,0,gpt-4o,0.0,2048,0.89,1.0,1.0,1.0,0.021180068226120854,1.0,0.92,0.8,0.84,0.0,0.02736842105263158,0.015997354497354496,0.04135449735449736
20241230_142918,100,natural,default,encrypt,0,gpt-4o,0.0,2048,0.17,0.94,0.82,0.68,0.3297660779389737,0.68,0.0,0.0,0.0,0.08395083734239815,0.40100194377308296,0.4506485053839392,0.3834630252564746
20241230_143257,100,natural,code,decrypt,0,gpt-4o,0.0,512,0.21,0.83,0.7,0.6,0.44843259878117153,0.76,0.08,0.0,0.0,0.044781734028557986,0.45802432131407317,0.6481830008029053,0.6427413389791498
20241230_143809,100,natural,code,encrypt,0,gpt-4o,0.0,512,0.21,0.94,0.85,0.74,0.28051083722642234,0.8,0.04,0.0,0.0,0.06639862864266792,0.3040236709040595,0.4320097445674999,0.31961130479146205
20241230_144045,100,random,base,decrypt,0,gpt-4o,0.0,64,0.01,0.71,0.5,0.28,0.5988417250285765,0.04,0.0,0.0,0.0,0.4990985700334873,0.4970609849140579,0.6714434899540567,0.7277638552127043
20241230_144131,100,random,base,encrypt,0,gpt-4o,0.0,64,0.05,0.96,0.86,0.67,0.26493845483871065,0.16,0.0,0.04,0.0,0.11736742169303753,0.281348751389201,0.3216461188338291,0.3393915274387747
20241230_144214,100,random,default,decrypt,0,gpt-4o,0.0,2048,0.35,1.0,0.94,0.81,0.19864684656389464,0.28,0.4,0.32,0.4,0.25107790356545234,0.18597587699687576,0.191080519516379,0.16645308617687135
20241230_145333,100,random,default,encrypt,0,gpt-4o,0.0,2048,0.02,0.91,0.74,0.63,0.3275765984054583,0.04,0.0,0.04,0.0,0.23167492634943165,0.326195886438584,0.35826885521561785,0.3941667256181996
20241230_145650,100,random,code,decrypt,0,gpt-4o,0.0,512,0.01,0.68,0.51,0.32,0.5100497362600607,0.04,0.0,0.0,0.0,0.28565340718120363,0.43689841057373696,0.6464482196136524,0.6711989076716498
20241230_150228,100,random,code,encrypt,0,gpt-4o,0.0,512,0.04,0.92,0.81,0.72,0.27244241962628235,0.16,0.0,0.0,0.0,0.1941736846334593,0.2880213397900166,0.31740546407870407,0.2901691900029496
20241230_150644,100,natural,cot-like,decrypt,0,gpt-4o,0.0,256,0.24,0.84,0.68,0.61,0.47834289358544707,0.76,0.16,0.04,0.0,0.13960502217081167,0.46342408010519465,0.623288052581438,0.6870544194843441
20241230_151022,100,natural,cot-like,encrypt,0,gpt-4o,0.0,256,0.22,0.94,0.86,0.72,0.2947761728584878,0.84,0.04,0.0,0.0,0.02086177341436809,0.34808483525729594,0.476873384119644,0.3332846986426434
20241230_151431,100,random,cot-like,decrypt,0,gpt-4o,0.0,256,0.0,0.84,0.59,0.37,0.47703612006590207,0.0,0.0,0.0,0.0,0.36575351279342394,0.39445886514287376,0.5014691978726169,0.6464629044546933
20241230_151832,100,random,cot-like,encrypt,0,gpt-4o,0.0,256,0.04,0.9,0.83,0.74,0.2736202946654757,0.12,0.0,0.04,0.0,0.13224492808010105,0.31452752510796667,0.36453851778559015,0.28317020768824513
20250117_230528,75,natural,base,decrypt,50,gpt-4o,0.0,64,0.24,0.72,0.5466666666666666,0.44,0.5848464662322288,-,0.32,0.08,0.32,-,0.43135095537990276,0.7223975780073424,0.6007908653094411
20250117_230647,75,natural,base,encrypt,50,gpt-4o,0.0,64,0.08,0.96,0.9066666666666666,0.7466666666666667,0.40107635281990567,-,0.04,0.08,0.12,-,0.4452207151667375,0.406582839835351,0.35142550345762863
