experiment_id,number_of_data,type_of_plain_text,prompt_type,setting,shot,model,temperature,max_tokens,accuracy,accuracy_1,accuracy_2,accuracy_3,token_error_rate,accuracy_shift_3,accuracy_shift_6,accuracy_shift_9,accuracy_shift_12,ter_shift_3,ter_shift_6,ter_shift_9,ter_shift_12
20241231_234059,100,natural,base,decrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.05,0.15,0.07,0.9294557889337,0.0,0.0,0.0,0.0,0.9262798314665995,0.9411181036369891,0.9419284108048813,0.9084968098263292
20241231_234339,100,natural,cot-like,decrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.02,0.13,0.08,0.9430750452776729,0.0,0.0,0.0,0.0,0.9364565494181862,0.9472493846023258,0.9371369578134283,0.9514572892767507
20250101_000013,100,natural,default,decrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.16,0.17,0.08,0.9142246772000777,0.0,0.0,0.0,0.0,0.9197764937415226,0.8934363562552821,0.9143111028405145,0.9293747559629912
20250101_000736,100,random,base,decrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.01,0.14,0.05,0.9222624871856431,0.0,0.0,0.0,0.0,0.9235234699940582,0.914925743503143,0.9165134499816153,0.9340872852637558
20250101_001112,100,random,cot-like,decrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.0,0.1,0.04,0.9376718430148663,0.0,0.0,0.0,0.0,0.9181991341991342,0.9480808080808081,0.9217012987012988,0.9627061310782241
20250101_002745,100,random,default,decrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.05,0.14,0.05,0.9283724669442968,0.0,0.0,0.0,0.0,0.9105136070238372,0.9207041048047241,0.9552913589678296,0.9269807969807969
20250101_003319,100,natural,base,encrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.09,0.12,0.07,0.9099043287018804,0.0,0.0,0.0,0.0,0.8889604997749896,0.9164156880420846,0.9232376052627768,0.9110035217276703
20250101_003414,100,natural,cot-like,encrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.06,0.05,0.0,0.9739310877986875,0.0,0.0,0.0,0.0,0.9405394858054704,0.9823571428571429,0.9796466165413534,0.9931811059907836
20250101_011253,100,natural,default,encrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.28,0.26,0.16,0.8909399067526607,0.0,0.0,0.0,0.0,0.8221150811646513,0.8929825172229654,0.909180832558213,0.9394811960648133
20250101_012050,100,random,base,encrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.07,0.06,0.07,0.8883295996841903,0.0,0.0,0.0,0.0,0.8500553202873165,0.9058996296310223,0.8970933575331206,0.9002700912853018
20250101_012143,100,random,cot-like,encrypt,0,models--llama-3.1/hf/8B-Instruct/,0.01,1024,0.0,0.09,0.12,0.03,0.9479023142140215,0.0,0.0,0.0,0.0,0.9233424624910692,0.9531999999999999,0.9464262714891997,0.968640522875817
