experiment_id,number_of_data,type_of_plain_text,prompt_type,setting,shot,model,temperature,max_tokens,accuracy_1_shift_3,accuracy_2_shift_3,accuracy_3_shift_3,accuracy_1_shift_6,accuracy_2_shift_6,accuracy_3_shift_6,accuracy_1_shift_9,accuracy_2_shift_9,accuracy_3_shift_9,accuracy_1_shift_12,accuracy_2_shift_12,accuracy_3_shift_12
20241230_142050,100,natural,base,decrypt,0,gpt-4o,0.0,64,0.92,0.76,0.8,0.8,0.64,0.52,0.64,0.48,0.48,0.52,0.24,0.12
20241230_142136,100,natural,base,encrypt,0,gpt-4o,0.0,64,1.0,1.0,0.96,0.92,0.84,0.68,0.88,0.8,0.68,1.0,0.76,0.6
20241230_142222,100,natural,default,decrypt,0,gpt-4o,0.0,2048,1.0,1.0,1.0,0.84,1.0,1.0,0.88,1.0,1.0,0.88,1.0,1.0
20241230_142918,100,natural,default,encrypt,0,gpt-4o,0.0,2048,0.96,1.0,1.0,1.0,0.92,0.64,0.96,0.76,0.52,0.8,0.6,0.56
20241230_143257,100,natural,code,decrypt,0,gpt-4o,0.0,512,1.0,0.84,0.92,0.88,0.8,0.56,0.68,0.64,0.44,0.76,0.52,0.48
20241230_143809,100,natural,code,encrypt,0,gpt-4o,0.0,512,1.0,1.0,0.96,0.88,0.84,0.72,0.92,0.76,0.64,0.96,0.8,0.64
20241230_144045,100,random,base,decrypt,0,gpt-4o,0.0,64,0.84,0.76,0.52,0.84,0.6,0.28,0.56,0.32,0.24,0.56,0.32,0.08
20241230_144131,100,random,base,encrypt,0,gpt-4o,0.0,64,1.0,0.84,0.84,0.96,0.88,0.68,0.96,0.8,0.6,0.88,0.92,0.56
20241230_144214,100,random,default,decrypt,0,gpt-4o,0.0,2048,1.0,0.92,0.72,1.0,0.92,0.84,1.0,0.96,0.84,1.0,0.96,0.84
20241230_145333,100,random,default,encrypt,0,gpt-4o,0.0,2048,0.88,0.72,0.8,0.96,0.84,0.68,0.96,0.68,0.6,0.84,0.72,0.44
20241230_145650,100,random,code,decrypt,0,gpt-4o,0.0,512,0.92,0.8,0.56,0.8,0.64,0.36,0.44,0.44,0.2,0.56,0.16,0.16
20241230_150228,100,random,code,encrypt,0,gpt-4o,0.0,512,0.92,0.72,0.88,0.92,0.84,0.72,0.92,0.8,0.64,0.92,0.88,0.64
20241230_150644,100,natural,cot-like,decrypt,0,gpt-4o,0.0,256,1.0,0.84,0.92,0.84,0.72,0.68,0.76,0.56,0.4,0.76,0.6,0.44
20241230_151022,100,natural,cot-like,encrypt,0,gpt-4o,0.0,256,0.96,0.96,0.96,0.96,0.88,0.56,0.88,0.72,0.68,0.96,0.88,0.68
20241230_151431,100,random,cot-like,decrypt,0,gpt-4o,0.0,256,0.96,0.76,0.56,0.92,0.64,0.36,0.88,0.68,0.44,0.6,0.28,0.12
20241230_151832,100,random,cot-like,encrypt,0,gpt-4o,0.0,256,0.96,0.84,0.96,0.88,0.76,0.72,0.92,0.8,0.64,0.84,0.92,0.64
