experiment_id,number_of_data,type_of_plain_text,prompt_type,setting,shot,model,temperature,max_tokens,accuracy,accuracy_1,accuracy_2,accuracy_3,token_error_rate,accuracy_shift_3,accuracy_shift_6,accuracy_shift_9,accuracy_shift_12,ter_shift_3,ter_shift_6,ter_shift_9,ter_shift_12
20241231_215517,100,natural,base,decrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.1,0.15,0.06,0.9027894205098554,0.0,0.0,0.0,0.0,0.855759451559005,0.9114590402351961,0.9162320587248908,0.9277071315203298
20241231_215558,100,natural,cot-like,decrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.18,0.18,0.04,0.9214869461126293,0.0,0.0,0.0,0.0,0.8794972939106942,0.9242586980310348,0.9409343256092157,0.9412574668995721
20241231_220222,100,natural,default,decrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.44,0.33,0.25,0.8545151721668912,0.0,0.0,0.0,0.0,0.7838292042276749,0.7825503362792365,0.9075389510904386,0.9441421970702157
20241231_221129,100,random,base,decrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.07,0.07,0.08,0.9150711156701797,0.0,0.0,0.0,0.0,0.8971437298687526,0.9288253094727982,0.9108324189532966,0.9234830043858716
20241231_221305,100,natural,base,decrypt,0,models--Qwen2.5-32B-Instruct,0.01,1024,0.02,0.25,0.19,0.09,0.8409805848106615,0.08,0.0,0.0,0.0,0.7195483567985025,0.8526575822685664,0.8791419765190501,0.9125744236565261
20241231_221204,100,random,cot-like,decrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.12,0.09,0.15,0.9242160660234015,0.0,0.0,0.0,0.0,0.9297269631237214,0.9290666749143529,0.9215964526481883,0.916474173407343
20241231_221816,100,random,default,decrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.3,0.33,0.23,0.8570604370708188,0.0,0.0,0.0,0.0,0.7819240380400025,0.823473161184697,0.9210454488751703,0.9017991001834049
20241231_222752,100,natural,base,encrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.27,0.25,0.07,0.8911677974108032,0.0,0.0,0.0,0.0,0.8118836413796839,0.8989075455581275,0.9230373393823528,0.9308426633230493
20241231_221449,100,natural,cot-like,decrypt,0,models--Qwen2.5-32B-Instruct,0.01,1024,0.01,0.22,0.23,0.05,0.8407412235485268,0.04,0.0,0.0,0.0,0.7459491141938761,0.8653881789309438,0.8908500989022078,0.8607775021670796
20241231_222940,100,natural,cot-like,encrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.44,0.27,0.15,0.8917056617801268,0.0,0.0,0.0,0.0,0.8358310042210972,0.9153816847411274,0.8943155460523882,0.9212944121058942
20241231_223657,100,natural,default,encrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.26,0.22,0.09,0.8969603803780484,0.0,0.0,0.0,0.0,0.810514725525522,0.9098049887595475,0.9245891555269564,0.9429326517001678
20241231_223819,100,random,base,encrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.32,0.05,0.12,0.835761560982055,0.0,0.0,0.0,0.0,0.7634780746541415,0.8199894148417503,0.869571389140914,0.8900073652914142
20241231_223901,100,random,cot-like,encrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.34,0.22,0.13,0.8548302570845645,0.0,0.0,0.0,0.0,0.7472810019059178,0.8644353150775279,0.9015723114847493,0.906032399870063
20241231_224531,100,random,default,encrypt,0,models--Qwen2.5-7B-Instruct,0.01,1024,0.0,0.26,0.15,0.12,0.8543625796468448,0.0,0.0,0.0,0.0,0.7710727840651161,0.8640079379477263,0.8728308564251492,0.9095387401493876
20241231_223451,100,natural,default,decrypt,0,models--Qwen2.5-32B-Instruct,0.01,1024,0.12,0.44,0.48,0.38,0.6219856521326915,0.28,0.2,0.0,0.0,0.48991473518270995,0.41890582260622616,0.7796788744543663,0.7994431762874638
20241231_231114,100,random,base,decrypt,0,models--Qwen2.5-32B-Instruct,0.01,1024,0.0,0.13,0.12,0.03,0.8991716002227836,0.0,0.0,0.0,0.0,0.8510230971523205,0.92943586892012,0.9104982056022977,0.9057292292163974
20241231_231307,100,random,cot-like,decrypt,0,models--Qwen2.5-32B-Instruct,0.01,1024,0.0,0.14,0.13,0.05,0.9051451449565849,0.0,0.0,0.0,0.0,0.8518035493992555,0.9148815280081938,0.9430620576992095,0.9108334447196812
